NUMBER,CVNAME,CVAPETTAG,TYPE,MVDVNAME,MVDVAPETTAG,MVDVNUMBER,GAIN-VALUE,GAIN-TAG
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,Fresh_Feed,PID-J130-1.PV,1.1,0.033053093,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.1.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,1_Vibrating_Feeder1_OP,PID-J141-LIC-G1118.OP,2.1,-0.529626667,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.2.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,1_Vibrating_Feeder2_OP,PID-J141-LIC-G1128.OP,2.2,-0.529626667,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.3.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,2_Vibrating_Feeder1_OP,PID-J142-LIC-G1118.OP,3.1,-0.490163714,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.4.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,2_Vibrating_Feeder2_OP,PID-J142-LIC-G1128.OP,3.2,-0.490163714,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.5.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,3_Vibrating_Feeder1_OP,PID-J143-LIC-G1118.OP,4.1,-0.469242126,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.6.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,3_Vibrating_Feeder2_OP,PID-J143-LIC-G1128.OP,4.2,-0.469242156,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.7.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,4_Vibrating_Feeder1_OP,PID-J144-LIC-G1118.OP,5.1,-0.37427932,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.8.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,4_Vibrating_Feeder2_OP,PID-J144-LIC-G2118.OP,5.2,-0.37427932,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.9.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,1_Tert_Crusher_Cavity_Level,PID-J141-BF-PID.PV,6.1,NaN,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.10.GAIN-VAL
1.1,Average_Bin_Level,BIN8-J140-BIN-01.LEVEL-01.READING,MV,1_Tert_Crusher_CSS,YC-J141-CC-01-CSS.PV,6.2,NaN,SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_AVERAGE_BIN_LEVEL.11.GAIN-VAL
